leif,L^F
sandbag,S^N^D^B^G
dittemore,D^T^M^R
gitto,JH^T
dancanet,D^NG^K^N^T
alford,L^F^D
grettenberger,G^R^T^N^B^G
lein,L^N
filtrenelli,F^L^T^R^N^L
yu,Y
touches(1),T^CH^Z
preventive(2),P^R^V^N^V
mcgue,M^G^Y
sandbar,S^N^D^B^R
leis,L^Z
extremes,K^S^T^R^M^Z
jurgensmeyer,JH^G^N^Z^M^R
desktops,D^S^K^T^P^S
gulch,G^L^CH
tornadoes,T^R^N^D^Z
memorizing,M^M^Z^NG
editorialists(1),D^T^R^L^S^S
rotations,R^T^SH^N^Z
vinson,V^N^S^N
meloy,M^L
smashing,S^M^SH^NG
sawing,S^NG
vassar,V^S
furgeson,F^G^S^N
brinson,B^R^N^S^N
melon,M^L^N
imreg's,M^R^G^Z
richardson,R^CH^D^S^N
norder,N^R^D
fettig,F^T^G
picks,P^K^S
muench,M^Y^NG^K
violating,V^L^T^NG
arctic(1),R^T^K
hamtramck,HH^M^T^R^M^K
perkovich,P^K^V^CH
arceo,R^S
sennett,S^N^T
cancerphobia,K^N^S^F^B
bravely,B^R^V^L
visitations(1),V^Z^T^SH^N^Z
indications,N^D^K^SH^N^Z
cannes(1),K^N
arguments,R^G^Y^M^N^T^S
inflections,N^F^L^K^SH^N^Z
younglove,Y^NG^L^V
caucasus,K^K^S^S
empathetic,M^P^TH^T^K
weirdly,W^R^D^L
bramhall,B^R^M^HH^L
bachus,B^CH^S
tenny,T^N
clarion,K^L^R^N
preventative,P^R^V^N^T^T^V
synbiotics(0),S^N^B^T^K^S
peddlers,P^D^L^Z
entergy,N^T^JH
crumley,K^R^M^L
tamm,T^M
bester,B^S^T
lipoprotein,L^P^P^R^T^N
luanda,L^N^D
frohman,F^R^M^N
fumio,F^Y^M
synchronization,S^NG^K^R^N^Z^SH^N
bested,B^S^T^D
audas,D^Z
overspends,V^S^P^N^D^Z
tami,T^M
teetering,T^T^NG
franchised,F^R^N^CH^Z^D
cain's,K^N^Z
urfer,F
sobriquet(0),S^B^R^K
aquarium,K^W^R^M
madrigal(1),M^D^R^G^L
characteristically,K^R^K^T^S^T^K^L
czechowski,CH^HH^F^S^K
viacom's,V^K^M^Z
burow,B^Y^R
zuckerman's(0),Z^K^M^N^Z
contour,K^N^T^R
reichow,R^K
zippora,Z^P^R
bequeath,B^K^W^TH
fowkes,F^K^S
naturalization(1),N^CH^R^L^Z^SH^N
aquarius,K^W^R^S
wattage,W^T^JH
claypoole,K^L^P^L
demagogue,D^M^G^G
