leif,1,
sandbag,11,
dittemore,10,
gitto,10,
dancanet,101,
alford,10,
grettenberger,1000,
lein,1,
filtrenelli,1010,
yu,1,
touches(1),10,
preventive(2),10,
mcgue,1,
sandbar,11,
leis,1,
extremes,1,
jurgensmeyer,101,
desktops,11,
gulch,1,
tornadoes,10,
memorizing,1010,
editorialists(1),101000,
rotations,10,
vinson,10,
meloy,10,
smashing,10,
sawing,10,
vassar,10,
furgeson,100,
brinson,10,
melon,10,
imreg's,11,
richardson,100,
norder,10,
fettig,10,
picks,1,
muench,1,
violating,1000,
arctic(1),10,
hamtramck,10,
perkovich,100,
arceo,100,
sennett,10,
cancerphobia,10100,
bravely,10,
visitations(1),1010,
indications,1010,
cannes(1),1,
quivered,10,
arguments,100,
inflections,10,
younglove,11,
caucasus,100,
empathetic,1010,
weirdly,10,
bramhall,10,
bachus,10,
tenny,10,
clarion,100,
preventative,100,
synbiotics(0),1010,
peddlers,10,
entergy,100,
crumley,10,
tamm,1,
bester,10,
lipoprotein,1010,
luanda,10,
frohman,10,
fumio,100,
synchronization,10010,
bested,10,
audas,1,
overspends,101,
tami,10,
teetering,100,
franchised,10,
cain's,1,
urfer,10,
sobriquet(0),101,
aquarium,100,
madrigal(1),100,
characteristically,100100,
czechowski,10,
viacom's,100,
burow,10,
zuckerman's(0),100,
contour,11,
reichow,10,
zippora,10,
bequeath,1,
fowkes,1,
naturalization(1),10010,
aquarius,100,
wattage,10,
claypoole,11,
demagogue,101,
milacron's,100,
knaggs,1,
gorazde's(1),10,
tamp,1,
overs,10,
feehan,10,
rara,10,
whitestone(0),11,
cyclones,1,
overy,100,
steakhouse,11,
bonaduce(1),100,
compress(1),1,
fission,10,
talkington,100,
neutrality,100,
dasa(1),10,
alvidrez,10,
join,1,
hardworking,110,
bohlander,100,
lofaro,10,
disrupt,1,
joie,1,
bitting,10,
boulais,1,
benevolence,100,
ineffective,10,
polidoro,10,
hsia,1,
confindustria,10100,
polyps,10,
papandrea,100,
polidori,10,
