leif,1
sandbag,10
dittemore,010
gitto,10
dancanet,001
alford,10
grettenberger,1000
lein,1
filtrenelli,0010
yu,1
touches(1),10
preventive(2),010
mcgue,01
sandbar,10
leis,1
extremes,01
jurgensmeyer,100
desktops,10
gulch,1
tornadoes,010
memorizing,1000
editorialists(1),001000
rotations,010
vinson,10
meloy,10
smashing,10
sawing,10
vassar,10
furgeson,100
brinson,10
melon,10
imreg's,01
richardson,100
norder,10
fettig,10
picks,1
muench,1
violating,1000
arctic(1),10
hamtramck,010
perkovich,100
arceo,100
sennett,10
cancerphobia,00100
bravely,10
visitations(1),0010
indications,0010
cannes(1),1
arguments,100
inflections,010
younglove,10
caucasus,100
empathetic,0010
weirdly,10
bramhall,10
bachus,10
tenny,10
clarion,100
preventative,0100
synbiotics(0),0010
peddlers,10
entergy,100
crumley,10
tamm,1
bester,10
lipoprotein,0010
luanda,010
frohman,10
fumio,100
synchronization,00010
bested,10
audas,01
overspends,100
tami,10
teetering,100
franchised,10
cain's,1
urfer,10
sobriquet(0),100
aquarium,0100
madrigal(1),100
characteristically,000100
czechowski,010
viacom's,100
burow,10
zuckerman's(0),100
contour,10
reichow,10
zippora,010
bequeath,01
fowkes,1
naturalization(1),10010
aquarius,0100
wattage,10
claypoole,10
demagogue,100
milacron's,100
knaggs,1
gorazde's(1),010
tamp,1
overs,10
feehan,10
rara,10
whitestone(0),10
cyclones,01
overy,100
steakhouse,10
bonaduce(1),100
compress(1),01
fission,10
talkington,100
neutrality,0100
dasa(1),10
alvidrez,010
join,1
hardworking,100
bohlander,100
lofaro,010
disrupt,01
joie,1
bitting,10
boulais,01
benevolence,0100
ineffective,0010
polidoro,0010
hsia,1
confindustria,00100
polyps,10
papandrea,0100
polidori,0010
recoveries,0100
weed,1
bambenek,010
sturges,10
stanislawski,0010
evacuee(1),0100
presses(1),10
doubter,10
terrifies,100
unquestionably,01000
evin,10
evil,10
skiing,10
jangle,10
guardsman(1),10
gruba,10
polio,100
polin,10
pugwash,10
butyl,10
turban,10
rohatyn's(1),010
interactions(0),0010
ilana,010
legality,0100
adjudicate,0100
fangman,10
flagstaff,10
we're(2),1
espenschied,100
nolley,10
essence,10
whitey(2),10
resources',100
tennant,10
eclipse(0),01
apalachicola's,000010
shies,1
obligate,100
malawi's,010
traver,10
bagel,10
mccain,01
unitholder,1000
concurring,010
neysa,10
dagon,10
pawtucket,010
mcminn,01
headmasters,110
bedchamber,100
linette,01
roxborough,100
topete,10
fontaine,01
hosea's(0),010
yi,1
crossword,10
zercomo,010
quintupled(0),010
hindle,10
malaga,100
oberweis,100
mnemonic(1),010
siniscalchi,0010
lumberman,100
ionize,100
tomasetti,0010
segments(1),01
corrupted,010
courtenay(1),10
horman,10
manasion's,000
raffi's,10
painted(0),10
ecogen,100
comedian's,0100
guarino,010
twenty's(0),10
guarini,010
callow,10
restricted(1),010
wonderfully(0),1000
heretic,100
stew,1
bohon,10
executives',0100
paulhus,10
fetting,10
wassmer,10
classes(1),10
aguirre(1),010
buchert,10
insert(1),10
welfare,10
gielgud,10
subdivide,001
bagdasarian,00100
noriegas,0010
wadley,10
crowd,1
doswell,10
sephardim(1),001
cederquist(1),100
angeloni,0010
pacholder,100
shrug,1
shrub,1
shrum,1
westfed,10
appelhans,100
relapsing,010
parras,10
ardor,10
alvord,01
carlston,10
skyscraper,100
counsellors(0),100
ouderkirk,100
dehumanization,000010
thomspon,10
mcafee(1),010
eckardt's(0),10
f.,1
their,1
roman,10
kusler(1),10
hearse,1
laughs,1
crowl,1
shryock,10
ballpoints,10
blegen,10
pervades,01
hearst,1
prefab,11
romas,10
pavarotti's,0010
tesh,1
herren,10
abortifacients,00010
carafe,01
competitive(1),0100
pridmore,10
obarr,01
negrete,10
obara,010
hadsell,10
inoperable,01000
theil,1
navy,10
fm,11
goehring,10
daughter,10
lifes,1
lifer,10
manifests(1),100
fe,1
youngster,10
unconcerned,001
dzerzhinsk,00
readings(1),10
reaganite(0),100
carroll(1),10
inkatha(1),010
maciver,100
fu,1
knowlton,10
nave,1
principle,100
unsalable,0100
ciaramitaro,10000
brothers',10
analgesics,0010
liberality,00100
dylan's,10
exposure,010
lacher,10
biomaterial,000100
aguirra,010
callies,10
schulz,1
millionaires,001
sabel,01
shapely,10
trundle,10
delhaize,01
douds,1
kaleida,010
cooperated(0),01000
accusingly,0100
inhibitions(0),0010
pragmatists(2),100
shigeki,010
imperialists(1),01000
countercharges(1),1000
daube,1
roydon,10
heald,1
dominion,010
lamamra,010
rebbe,10
trowell,10
rochefort(1),10
dettmann,10
o'smarty,010
strouth,1
longmore,10
cuoco,10
scented,10
lilly's,10
heals,1
schult,1
crary,100
saber,10
healy,10
kulick,10
kulich,10
layoffs,10
stolp,1
flyby,10
coyne,1
intimidates,0100
fundraiser's,100
kasbrol,10
dashiell,10
biloxi,010
olk(1),1
submissions,010
hooded,10
kavner(0),10
columbus,010
capitalizing,10000
engler's(0),100
sovereignty,100
gaddis,10
point,1
employee(0),010
chemotherapy,00100
broeker,10
amenity,0100
cohosts(1),10
extremity,0100
citicorps',100
gaddie,10
recruitment(2),010
corals,10
retrofitting,1000
windy(1),10
balms(1),1
scheffer,10
bradstreet,10
nawrocki,010
grosso,10
punching,10
caseworker,100
deputized,100
academicians(0),00010
fifth(0),1
ovitt,10
monotonous,0100
delicate,100
subsaharan,0010
selwyn,10
baars,1
rittenour,100
convertibles,0100
misspending(1),010
hallward,10
mcaleer,100
blankley,10
sentinels,100
ordeal,01
levitte,10
deficit's,100
purity(1),100
crisslow,10
introspective(0),0010
berish,10
toothman,10
landmesser,100
aubin,10
tisdale,10
assessing,010
alexandre,0010
visualization,00010
automatic(1),0010
imponderables,01000
mandujano,0010
received(1),01
chaudoin,01
steve,1
mcguire,01
fascists(1),10
yevgeny,010
seasonality(0),10000
symbolizes(1),1000
gardenias,010
fixing,10
waverly,100
paperweight,100
helter,10
mcguirt,01
traxler,10
redinger,100
morrisett,100
restructures,010
altice,10
bonderman,100
denlea,10
gongaware,100
glamorous,100
woebegone,100
chaikin,10
senegambia,00100
alpine,10
colburn,10
david's,10
denley,10
possessiveness,0100
discombobulating,001000
headquarters(0),100
sammons,10
messenger(0),100
treese,1
nuggets,10
cavanah,100
antagonisms,01000
carville's,10
americares,0100
contrarians,0100
aggressors,010
medema,010
remmington,100
rubinson,100
foxfire(0),10
starboards(1),10
cousin,10
morrow(0),10
norfolk,10
darbonne,10
crouching,10
steeves,1
steever,10
berlack,10
disallowed,001
counterattacking(1),10000
homogeny,0100
zlobin,10
yeoman,10
helbert,10
machinery(0),0100
waldheim's(1),10
bralorne,10
sided(1),10
helberg,10
levick,10
hondo,10
andorra,010
tippy,10
temblor,10
pectic,10
tude,1
honda,10
bedbug,10
manolis,100
meisters,10
dismantled(0),010
shoulder,10
tagged,1
vansickle,010
ellamay,100
motif,01
homeboys,10
lloyds,1
subsidization,00010
pleiad,10
swirsky,10
environics,0010
afrikaner,0010
beads,1
wygal,10
decelerate,0100
danzer,10
beady,10
lamm's,1
dealer,10
renewing,010
siegmund,10
fishman(0),10
rasey,10
responses(2),010
morphology,0100
hoists(2),1
omonia(0),0100
reputedly,0100
menninger,100
kroner,10
auvil,01
lucinda,010
pozzi,10
arsonist(0),100
curragh(1),10
karpinski,010
fights,1
pacific,010
kerkorian,0100
petrilli,010
scrupulous,100
battaglini,0010
vikes,1
rexana,010
seated(0),10
kronen,10
metamucil's,0010
declerk's,01
insanity(0),0100
parrett,10
partum,10
volland,10
scraggly,10
attire,010
futher,10
scraggle,10
gryder,10
st_james,11
foreclose,01
privilege(0),10
hanseatic,0010
blasco,10
intimidating,01000
bacterial,0100
consortia,010
peirce(0),1
swan(0),1
soviet(1),100
hiebert,10
eyelids,10
text,1
boyce,1
reinwald,10
tadashi,010
rocher(0),10
zabows,10
winiecki,010
oversee,100
passaro,010
eldridge,10
oversea,001
medeva,010
pacto,10
eigner,10
rejuvenating,01000
presumed(1),01
valparaiso,0010
wetstein(1),10
reevaluate,00100
superstar,001
propensities,0100
cackle,10
drinas,10
chisels,10
bruckner,10
ramaswami,0010
calderon(0),100
catterson,100
dufner,10
futility,0100
gursky,10
berwick,10
rare,1
indies,10
temco,10
infotron,100
reliably(0),0100
purveyor,010
hieroglyph,001
impressionism,01000
gatherer,100
tourists(2),10
gurski,10
cunnilingus,0010
penguins,10
quieting,100
accusers,010
chriptosporidium,000100
wrecked,1
buehler,10
giambra,10
metacarpals,0010
eshleman,100
bellanca,010
upturn(0),01
ogle,10
dealba,010
cutthroat,10
hospice,10
bios,10
horrors,10
vandross,01
masood,01
codify,100
burleson(1),10
grayer,10
delgadio(0),010
matrons,10
diamagnetic,00010
hanan,10
prattling,10
kostal,10
hanak,10
bohning,10
poythress,10
rao's,1
hanas,10
birkedal,100
bresler,10
taormina,0010
choking,10
grained,1
hitchhikes,10
hitchhiker,100
demonstrators,1000
diameter,0100
felonies,100
connaway,100
decker's,10
container,010
laven,10
fesler(1),10
neidlinger(0),1000
mundinger,100
youngest,10
volume's,10
kindling,10
ascertaining,0010
kayes,1
hitchhiked,10
awesome(0),10
kayser,10
anschluss(1),10
collin,10
blakenham,100
braunstein(1),10
thanked,1
newshour,10
currency's,100
collie,10
franyo,10
ediva,010
bosnians,100
injunctive(1),010
kyi(1),111
collis,10
mertens,10
worldwide's,10
router(0),10
mation(0),10
digidyne,100
whetted(0),10
shipments,10
mothershed,100
prides,1
buffeted(1),100
marguerite,001
kanitz,10
prided,10
alcoholism,10000
nastasi,010
fully,10
animates(0),100
internacional(1),000001
mark's,1
splash,1
billowing,100
mcnaught,01
uppers,10
gas's,10
rappold,10
hallquist,10
guangzhou,10
pollett,10
beholding,010
peace,1
respectful,010
peach,1
norton,10
beaker,10
richfield,10
vanderleest,1000
pierre's,01
columbines,100
wuest,10
hexachlorophene,00100
monzonite,100
habitues,100
demartin,010
foretastes(0),01
kaleta,100
prominent,100
newkirk,10
concatenation,00010
outboards,10
forshee,10
hankins,10
wheaten(1),10
dispensable,0100
stults,1
wernick,10
komine,10
convicts(1),01
tied,1
convalesce,001
wrice,1
ches,1
tien,1
