fawn,1
sermersheim,100
existential(1),2210
scheuring,10
nunnery,100
sowell,10
sonja,10
degussa,010
tangqui,11
fleeces,10
nalley,10
clotted,10
spiders,10
seifer,10
hanging,10
woody,10
comically,1000
kalmar,10
localized,102
phenotypic,2010
disobeying,2010
hennings,10
canes,1
sonji,10
sprague,1
chatter,10
canez,01
hathcock,10
protesting(1),120
express',01
mustachio,0102
diplomat's,102
gisler(1),10
caned,1
wineland(1),100
rickman,10
hero's(1),10
statute,10
petrak,10
brocklin,10
epistle,010
trojan,10
pigment,10
heublein,12
o'donald,010
hangin',10
broward,10
bringing,10
petras,10
higman,10
dascenzo,010
elevates,102
wooded,10
grueling,100
harville,12
wooden,10
guertin,01
plumage(1),10
wednesday,10
shchedrin,10
vested(1),10
klosinski,010
woods,1
troutwine,12
crotch,1
elgar,10
amplifications,20010
immunities,0100
romanone,001
keasling,10
innopac,102
gavan,10
gaskets,10
tumey,10
pearlstine,12
kopetski,010
consentino,0010
deadheads,12
e.,1
selassie,010
gorman,10
consenting,010
stohl,1
prosody,100
inanimate,0100
errors,10
dewaard,01
dankner,10
schlageter,100
defenses,010
opportunists,2010
warmongering,1200
moua,10
nueyung,21
outfielders,120
televangelists,20100
savko,10
pawed,1
subcommander's,1020
robling,100
consular,100
banasiak,0100
tessitore,0010
rocque,1
mailings,10
perforations,2010
garamendi's,2010
affiliates,0100
mcanally,1020
pavelka,010
lobbia,100
scharffenberger,1000
burlapped,12
affiliated,01020
brainwashes,120
digaetano,0010
finken,10
finkel,10
kids,1
ansgar,10
uplifting,120
ekofisk,100
kevex,10
blowpipes,12
deferring,010
trageser,100
macphee,01
kida,10
kidd,1
lingo,10
kinsley,10
scola,10
neurologist,0100
haldeman(1),100
kinsler,100
rebel,10
cobblers,10
topography,0100
projection,010
armstead,12
braunstein(1),12
sterr,1
mclaurin,010
garter,10
sterk,1
ocain,001
spacewalks,12
stern,1
councilwomen,1020
battista,010
paek,1
educationally(2),201000
battiste,010
kingsborough,120
agassi,100
dna,121
dnc,122
insecurity,20100
utica(1),100
alleviated(1),01020
abelow,100
sidebars,12
ramstein,12
distortions,010
tomer,10
grissinger,100
inglenook,102
sermons,10
benedikt,100
ireson(1),100
thassos,10
populations,2010
slauson,10
mesmerize,102
quinnell,10
yahoo,12
pierpont,12
meteorologist,200100
pingleton,100
riddock,10
expeditionary,201020
boorman,10
molenaar,100
voicework,12
blustering,100
reingold,10
intake,12
morally,100
brenneke,100
mroz,1
nakasone,2010
millisent,100
nickson,10
gershon,10
counterchallenge(1),1020
ozment,10
wiretapping,1020
india's,100
tudjman's,10
meat-eating,120
wang,1
wand,1
pints,1
wank,1
gaunce,1
adaptaplex,0102
waldenbooks,102
edgeways,12
facade,01
bluelaw,12
pinta,10
heathrow's,10
zyskowski,010
murchie,10
rayon,10
pinto,12
institutes',102
okelley,010
kennison,100
penalize(1),102
mackel,10
krain,1
travel,10
shirked,1
copious,100
airlocks,12
traver,10
shirkey,10
burleson(1),10
fukunaga,0010
gouge,1
brassard,10
hinerman,100
stolley,10
barbra,10
pagenkopf,100
flossie,10
aches,1
sanabria,0100
shorin,10
kryder,10
festus,10
dinosaurs,102
wrong,1
feiler,10
wrona,10
seda,10
stollen,10
sentencing,100
vannorman,010
glenna,10
mcgagh,01
heeded(1),10
olenik,100
harvests,10
kirner,10
subplots,10
stannard,10
knapik,10
presque-isle,10
menlo,10
anaphylaxis,20010
glenny,10
cleek,1
disengaging,0010
deval's,01
snugly,10
mumper,10
librettist,010
welcomed,10
concurrence,010
stoicism,1020
arafat's,000
minimize,102
knudtson,10
grundhofer,120
mobiliare,102
claflin,10
ferrante,010
activating,1020
consented(1),010
playhouse,12
fir,1
fis,1
wickedly,100
fit,1
lifeline,12
sieracki,010
gridiron,120
marsisa's,010
musman,10
whitledge,12
fig,1
penley,10
fuddruckers,100
probst,1
cullop,10
fin,1
soft(1),1
fil,1
shively,10
yahya,10
zucker,10
zeibel,10
ferrebee,100
magaziner's,2010
songwriter,120
vouchers,10
hypoxia,0100
effects,01
costella,210
sova,10
grinage,10
cadillacs,102
matisse's,100
directory(3),0100
scaglione,2010
giusto,10
whacking,10
bartok,10
cooperrider,1000
barton,10
bartoo,10
lucero,010
folha,10
telekom,100
bartos,10
ingria,100
bartow,12
timeout,12
empties(1),10
burts,1
panetta's,010
tacos,10
canoeist,010
nania,100
parasites,102
wearever,120
grapefruits,12
kilcoin,10
klostermann,100
buttercups,102
lake's,1
golen,10
nattie,10
rinderknecht,100
indiscretion,2010
freeze,1
reeves',1
golec,10
mazur,10
duross,10
claudson,10
adapt,01
lumbard,10
perturbed,01
size,1
thacher,10
eurocom,100
philandering(1),0100
koonce,1
baidoan,210
henriquez(1),01
environmentalism(1),0102020
underfoot,201
holiday(1),102
wenberg,10
bonelli,010
pumpkins,10
bonello,010
stereotypical,200100
cineplex's,1020
handelman,100
berwick,10
chlorine,10
guenette,01
ogborn,10
chiaro,010
criminologists,20100
nucleoli,1020
oblander,100
chiara,10
jose's,21
pfaff,1
cascone,010
mommens,10
disturbed,01
mendacity,0100
selfs,1
fredrikson,100
turben,10
lightened,10
vieth,10
curiouser,1000
stoneham,10
reaganite(1),102
boksen,10
cadres,10
hippen,10
sensabaugh,102
chiasso,010
megabytes,102
feldspar,12
whedbee,12
clementia,010
viets,1
boerner,10
bilzerian,0100
masted,10
suitable,100
renovated,1020
forrester,100
masten,10
mastel,10
stohr,1
andrick,10
andrich,10
spiegler,10
needed,10
wigglesworth,102
master,10
gallstones(1),12
seeber,10
redfearn,10
feelin',10
elijah(1),010
genesis,100
herbold,10
berlioz,100
intrigued(1),01
anafranil,0102
yield,1
scraper,10
mutilated,1020
mijares,010
linings,10
fischer's,10
heftiest,100
positively,1000
wheelchairs(1),12
ahmed,10
whips(1),1
miniatures,1000
duckworth,12
brees,1
anniversaries,20100
gudmundson,100
furner,10
walburn,10
exclaimed,01
schuur,1
moneyless,100
nold,1
coover,10
shampoos,01
feeling,10
goetting,10
dolan,10
bogar,01
whitcomb,10
sustaining,010
housman,10
bogan,10
brawny,10
recapitalized,21002
reengineering,02010
posters,10
farnham,10
affairs,01
frigate's,10
wholesome,10
hymen,10
lyphomed's(1),100
yoest,1
cretien,10
mickle,10
hymer,10
hymes,1
kremlin,10
reitzfeld(1),20
shipments,10
bonavia,2100
diminishing,0100
osbourne,10
cinematic,2010
resonates,102
toil,1
reverence,100
plough(1),1
dailey,10
expanse,01
hardwoods,12
chappell,10
alligood,102
huyett,10
purges,10
ditmore,10
flerfu,10
nettle,10
o'shaughnessy,2100
tech,1
fugitives,100
keeble,10
barfknecht(1),10
ehrke,1
portilla,210
purged,1
regnery,100
saying,10
cradock,10
frederickson(1),100
klimer,10
larded,10
baltodano,2010
dicker,10
dickes,1
dicken,10
dickel,10
otello,010
obenshain,100
waisanen,100
tempted,10
klimek,10
hounded,10
apace,01
hernon,10
clicked,1
excavator,1020
lawhead,12
luby,10
aspinwall,100
feuerborn,100
lube,1
statehouse,12
luba,10
apacs,10
usenet,12
magana,010
semiannually(3),20100
hoeing,10
ernest's,10
veney,10
sayin',10
puche,1
plata,10
sturgess,10
skipper's,10
firenza,010
plato,10
plath,1
kostrzewa,0010
platt,1
mcnab,01
savoca,010
photoelectric,20010
caribe,21
reflag,01
chyron,10
rapoport(1),100
bavaria's,0100
sabourin,100
platz,1
icebreakers,120
droning,10
massmann,10
jaguar,12
rinaudo,010
nicely,10
durall,10
patch,1
mahfouz's,010
niehoff,10
totman,10
bhattacharjy,2010
leader's,10
shocks,1
economy's(1),0100
circling,100
conant,10
programmatic,2010
cammon,10
maio,10
presstek,12
garamendi,2010
test's,1
zahler,10
pinot,10
holstine,12
doral,01
widger,10
lalita,010
legions,10
philistia,0100
lotz,1
bellanger,120
silks,1
eap(1),1
lots,1
lewkowicz,100
mcmurtrey,010
irv,1
lott,1
tippin,10
irk,1
dalhouse,12
srinivas,102
conductive,010
ira,10
belzer,10
cordoned,10
ire,1
entrekin,100
tortora,010
vicorp,10
redistricting,0100
extend,01
nature,10
sletten,10
gwozdz,1
fruits,1
lapping,10
kemp's,1
kurlak,10
karibu,210
garfunkel,100
tendons,10
heller's,10
futral,10
miyako,122
airflow,10
marshburn,12
stetzel,10
miyake,010
sparta,10
lookit,10
teitel,10
levitating,1020
matures(1),01
stetzer,10
underserve,001
karpowicz,100
cousteau's,21
libyan,100
alpex,10
kamke,10
fassulo,010
friendships(1),10
eiermann,10
gopher,10
wearying,100
fondled,10
minuses,100
self-consistent,2010
vocke,1
superminicomputer,1020020
gambrel,10
escalade,201
rowser,10
humming,10
combest,10
chinn,1
naify,12
triviality,20100
kanell,01
fro,1
prunedale,12
kasten,10
chinh,1
muck,1
lanete,01
kaster,10
much,1
chink,1
sterilizer,1020
zammit,10
fry,1
pavelko,010
giessen,10
ve(1),11
toning,10
obese,01
sensationalized,02001
mangual,10
spit,1
topliff,10
arkin,10
twinkled,10
havran,10
almasy,100
spic,1
sensationalizes,020010
alcocer,010
doubts,1
butrick,10
sampras's,100
propellants,010
wildcat,12
kennan,10
misconstrues,001
semireligious(1),20010
wagy,10
krewson,10
intan,10
contingencies,0100
professionally,01000
brainstorm,12
misconstrued,201
rescinds,01
longrange,12
schuele,1
filbrick,10
