cancerous^precancerous,cancerous
jostling(0)^ostling(0),jostling(0)^ostling(0)
whatever's^whatever's,whatever's^whatever's
lozano^rosano,lozano^rosano
whippoorwills^whippoorwills,whippoorwills^whippoorwills
whinnery^whinnery,whinnery^whinnery
brotherly^motherly^southerly,brotherly^motherly^southerly
election's^elections,election's^elections
equipment's^equipments,equipment's^equipments
aerials^burials,aerials^burials
laurentiis^warranties,laurentiis^warranties
jolicoeur^stahlecker,jolicoeur^stahlecker
dingler(0)^klingler(0)^ringler(0)^singler(0)^swingler(0)^tingler(0),dingler(0)^klingler(0)^ringler(0)^singler(0)^swingler(0)^tingler(0)
cameron^tamarin,cameron^tamarin
vogosca^vogosca,vogosca^vogosca
caputo^saputo,caputo^saputo
valenta^walenta^walenta,valenta^walenta^walenta
andino^blandino^ferrandino^landino,andino^blandino^landino
amphibians^gibian's^libyans,gibian's^libyans
mikelson^mikkelson^nickelson,mikelson^mikkelson^nickelson
bidinger^heidinger^meidinger^reidinger^ridinger^steidinger^weidinger,bidinger^heidinger^meidinger^reidinger^ridinger^steidinger^weidinger
depressurized^pressurized^unpressurized,pressurized
amity^calamity(1),amity
mexico's^new-mexico's^texaco's,mexico's^texaco's
franchisees^franchisees',franchisees^franchisees'
moreira^morera,moreira^morera
hemotec^memotec,hemotec^memotec
muehlbauer^muhlbauer,muehlbauer^muhlbauer
mcaleese's(1)^police's^polices^raleses,police's^polices^raleses
bedenbaugh^redenbaugh,bedenbaugh^redenbaugh
mataksas^metaxas,mataksas^metaxas
benedict^benedikt,benedict^benedikt
juilliard^julliard,juilliard^julliard
arico^carico^carrico^talarico^tallarico^tricarico,arico^carico^carrico
holleran^holloran,holleran^holloran
calero^mescalero^valero,calero^valero
dignified^signified,dignified^signified
mciver^mcivor,mciver^mcivor
husseini(0)^husseini(1),husseini(0)^husseini(1)
macmillan^mcmillan^mcmillen^mcmillian(1)^mcmillon,macmillan^mcmillan^mcmillen^mcmillian(1)^mcmillon
extended(0)^overextended,extended(0)
matrixes^matrix's,matrixes^matrix's
margery^marjorie(0)^marjory(0),margery^marjorie(0)^marjory(0)
credible^edible^incredible^inedible,credible^edible
presuming(1)^resuming(1),presuming(1)^resuming(1)
defina^josefina(0),defina
cappuccio^castelluccio^coluccio^cuccio^galluccio^guccio^muccio^nuccio^puccio,cuccio^guccio^muccio^nuccio^puccio
aquarium^barium^herbarium(0)^herbarium(1)^honorarium^merriam^planetarium,barium^merriam
amputations^computations^mutations^permutations,mutations
specialities^specialties,specialities^specialties
pirrello^ruggirello^tirello,pirrello^tirello
lamplighter's^lamplighters,lamplighter's^lamplighters
lazily^razaleigh,lazily^razaleigh
o'reilly^o'riley^oriley,o'reilly^o'riley^oriley
bohemian^nemean^ziemian,nemean^ziemian
