bodeguita(1)^raghida,bodeguita(1)
disinterest^interest(2),disinterest
aoshima(1)^hiroshima(0)^oshima,aoshima(1)^hiroshima(0)
chronicle^conical(0)^ironical^monical,ironical
whistleblower^whistleblower,whistleblower^whistleblower
atheistic^pantheistic^polytheistic,atheistic^pantheistic
cabriolet(1)^laviolette^violett^violett^violett^violette,cabriolet(1)^laviolette
disinfection^infection,disinfection
constantino^valentino,constantino^valentino
activities(0)^festivities^proclivities,activities(0)^festivities^proclivities
achievable^believable^conceivable^inconceivable^receivable^unbelievable,achievable^believable^conceivable^receivable
confectionaries^dictionaries^functionaries^legionaries^luminaries^mercenaries^missionaries^ordinaries^preliminaries(0)^preliminaries(1)^reactionaries^retrocessionaries^revolutionaries^seminaries^visionaries,dictionaries^functionaries^legionaries^luminaries^mercenaries^missionaries^ordinaries^seminaries^visionaries
impossibly^possibly,impossibly
amendola^lamendola^mendola^pendola,amendola^lamendola
habitual^ritual,habitual
argosystem^biosystem^ecosystem,argosystem^biosystem^ecosystem
guatemala^homola^ramala^ramallah(1),guatemala
chameleon(0)^deleon^machiavellian(0)^machiavellian(1)^machivellian^orwellian,chameleon(0)^orwellian
hamaker^nunamaker^ramaker,nunamaker
notwithstanding^withstanding,notwithstanding
distinguishable^indistinguishable^perishable^punishable,perishable^punishable
directv(0)^directv(1)^directv(2)^directv(3),directv(0)^directv(1)^directv(2)^directv(3)
amerada(1)^terada,amerada(1)
fanatical^grammatical(1)^mathematical^problematical^sabbatical^viatical,fanatical^grammatical(1)^sabbatical^viatical
buddenhagen^levenhagen^steffenhagen,buddenhagen^levenhagen^steffenhagen
michalowski^sokolowski^wesolowski,michalowski^sokolowski^wesolowski
bisceglia^neglia^treglia,bisceglia
gaudioso^glorioso^prezioso,gaudioso^glorioso^prezioso
introductions(0)^production's(1)^reproductions,introductions(0)^reproductions
antonio^colantonio^cotroneo^dantonio^diantonio^marcantonio^petronio^pomponio,antonio^cotroneo^dantonio^petronio^pomponio
altimetry^asymmetry^dissymmetry^symmetry,altimetry^asymmetry^dissymmetry
abalone^aloni^baloney^bologna^cipollone(1)^maloney^moloney,abalone^cipollone(1)
jeopardizing^standardizing,jeopardizing^standardizing
budgetary^cemetery(1)^depositary(0)^depositary(1)^military(1)^pituitary(1)^sanitary^undersecretary^unitary,budgetary^cemetery(1)^military(1)^sanitary^unitary
mexico's^new-mexico's^texaco's,new-mexico's
diamagnetism^elitism(0)^favoritism^semitism,elitism(0)^semitism
meticulous^ridiculous,meticulous^ridiculous
caponi^chiappone^sapone^zappone,chiappone
inorganic^organic,inorganic
azerbaijan(0)^azerbaijan(1),azerbaijan(0)^azerbaijan(1)
impediment^sediment,impediment
discourages^encourages(0),discourages^encourages(0)
consistent^inconsistent^self-consistent,inconsistent^self-consistent
clerical(1)^hysterical^mericle^numerical(1)^spherical,hysterical^numerical(1)
monovalent^tetravalent,monovalent^tetravalent
distinguishing^extinguishing,distinguishing^extinguishing
depositor's^depositors^depositors',depositor's^depositors^depositors'
deductible^destructable^ineluctible,deductible^destructable
intercity(0)^intercity(1),intercity(0)^intercity(1)
carboniferous^coniferous^fossiliferous^vociferous,coniferous^vociferous
duplicated(0)^fabricated(1)^implicated^intoxicated(1)^medicated^prefabricated^replicated^syndicated^unsophisticated,duplicated(0)^fabricated(1)^implicated^medicated^replicated^syndicated
annunzio(0)^denunzio^dinunzio^nunzio,annunzio(0)^denunzio^dinunzio
aggrandizing(0)^merchandising,aggrandizing(0)^merchandising
commotion^locomotion^promotion(0),locomotion
locomotor^promoter,locomotor
diianni^mariani(1)^modigliani(1)^modiliani,mariani(1)
chissano^disano^golisano^travisano,golisano^travisano
analytical^apolitical^critical^geopolitical^hypercritical^hypocritical^nonpolitical^political(1)^uncritical,political(1)^uncritical
bialecki^malecki,bialecki
geometry^optometry^spectrometry,geometry^optometry^spectrometry
benedictine's^benedictines,benedictine's^benedictines
remittances(0)^remittances(1),remittances(0)^remittances(1)
nontaxable^taxable,nontaxable
discriminate^eliminate^incriminate,discriminate^eliminate^incriminate
reportedly(0)^reportedly(1),reportedly(0)^reportedly(1)
barela^cafarella^carella^chiarella^ciavarella^mazzarella^muscarella^panzarella^paparella^parella^parrella^pascarella^pasquarella^passarella^zarrella,cafarella^chiarella^ciavarella^mazzarella^muscarella^panzarella^paparella^pascarella^pasquarella^passarella
depressingly^distressingly,depressingly^distressingly
conceptions^misconceptions^preconceptions,misconceptions^preconceptions
atheism(1)^cronyism^dandyism^judaism(1)^mccarthyism^monotheism^polytheism,atheism(1)^cronyism^dandyism^judaism(1)
establishing(0)^establishing(1)^reestablishing,establishing(0)^establishing(1)
avia^bellavia^davia^favia^moldavia(1)^yugoslavia,bellavia^moldavia(1)
caterpillars^caterpiller's(0),caterpillars^caterpiller's(0)
pitsenbarger^poffenbarger^puffenbarger^shellenbarger^wattenbarger^wolfenbarger^wolfinbarger,pitsenbarger^poffenbarger^puffenbarger^shellenbarger^wattenbarger^wolfenbarger^wolfinbarger
corporatist^separatist,corporatist^separatist
iomega^omega(1),iomega
aloisio^daloisio,aloisio^daloisio
angelucci^bellucci^castellucci^cellucci^melucci^vellucci,angelucci^castellucci
