fathomable^unfathomable,fathomable
sidonia^vidonia,sidonia^vidonia
cooperider^cooperrider,cooperider^cooperrider
anesthesiologist^geologist^ideologist,geologist
addidases^addidas's^adidas's,addidases^addidas's^adidas's
acidification^amplification^certification^cladification^clarification^classification^codification^decertification^deification^disqualification^diversification(0)^diversification(1)^edification^falsification^fortification^gasification^gratification^identification(0)^identification(1)^intensification^justification^magnification^modification^notification^nullification^ossification^pacification^personification^purification^qualification^ramification^ratification^recertification^reclassification^rectification^reunification^russification(0)^russification(1)^sanctification^saponification^suffocation^unification^verification^vilification,suffocation
matriarchy^patriarchy,matriarchy^patriarchy
ambrosine^ambrosini,ambrosine^ambrosini
economist's^economists^economists^economist's^economist's^economists^economist's,economist's^economists^economists^economist's^economist's^economists^economist's
disposition^predisposition,disposition
cogenerators^generator's^generators,generator's^generators
biology^electrobiology^microbiology(0)^microbiology(1),biology
consequential^inconsequential,consequential
caterpillars^caterpiller's(0),caterpillars^caterpiller's(0)
dominated^nominated,dominated^nominated
jan.(1)^january,jan.(1)^january
arabian^mehrabian(1),arabian^mehrabian(1)
development's^developments,development's^developments
recoveries^recovery's(0),recoveries^recovery's(0)
nontransferable^transferable^transferrable,transferable^transferrable
graciano^terracciano,graciano
degeneration^generation^veneration,generation^veneration
macnamara^mcnamara,macnamara^mcnamara
edinboro^edinburgh,edinboro^edinburgh
allocating^misallocating^reallocating,allocating
camarata^cammarata,camarata^cammarata
depasquale^dipasquale(0),depasquale^dipasquale(0)
forgettable(1)^unforgettable,forgettable(1)
fertility(1)^infertility,fertility(1)
arabella^marabella,arabella^marabella
atterberry^atterbury,atterberry^atterbury
iberia's^liberia's,iberia's^liberia's
conservatives^conservatives'^neoconservatives,conservatives^conservatives'
contaminated(0)^laminated^uncontaminated,laminated
dietitian's^dietitians,dietitian's^dietitians
baldassare^baldassari,baldassare^baldassari
constellation's^constellations,constellation's^constellations
al.(1)^alabama,al.(1)^alabama
criticizing^politicizing,criticizing
britannia^brittania(0),britannia^brittania(0)
identify(0)^misidentify(0),identify(0)
utilities^utilities'^utility's,utilities^utilities'^utility's
electricians^electricians',electricians^electricians'
idealistic^imperialistic^materialistic^realistic^surrealistic(1),realistic
christoffersen(1)^christofferson^christopherson,christoffersen(1)^christofferson^christopherson
benefiting^benefitting,benefiting^benefitting
virologists^virologists^virologists,virologists^virologists^virologists
guiliano^siciliano,guiliano
counterrevolution(0)^counterrevolution(1)^devolution^evolution(0)^revolution,devolution^evolution(0)^revolution
legendary^semilegendary(0)^semilegendary(1),legendary
measurable^pleasurable,measurable^pleasurable
bisexuality^duality^sexuality,duality
centrality^instrumentality^mentality(1)^sentimentality(0)^sentimentality(1),centrality^mentality(1)
entertainer's^entertainers^entertainer's^entertainers,entertainer's^entertainers^entertainer's^entertainers
grammatical(1)^mathematical^problematical,grammatical(1)
acknowledgement(1)^acknowledgment(1),acknowledgement(1)^acknowledgment(1)
interrupted(1)^uninterrupted^uninterrupted,interrupted(1)
dietary^proprietary,dietary
capitalized^recapitalized^uncapitalized,capitalized
comedian's^comedians,comedian's^comedians
diplomatic^undiplomatic,diplomatic
unrepentant^unrepentant,unrepentant^unrepentant
bibliography^choreography^geography^hagiography^historiography^phytogeography^radiography,geography
defazio(1)^difazio,defazio(1)^difazio
bonadio^donadio,bonadio^donadio
galeria^galleria,galeria^galleria
microorganisms^organism's^organisms,organism's^organisms
mcgarity^mcgarrity,mcgarity^mcgarrity
allocation^misallocation^reallocation,allocation
mariani(0)^notarianni,mariani(0)
corp^corp.^corp^corp.,corp^corp.^corp^corp.
banalities^nationalities^personalities,banalities
cooperation(0)^cooperation(1)^operation,cooperation(1)^operation
annapolis^indianapolis,annapolis
calif(0)^california,calif(0)^california
isomedix^isomedix's(1),isomedix^isomedix's(1)
fertilizing^self-fertilizing,fertilizing
audience's^audiences^audience's^audiences,audience's^audiences^audience's^audiences
eliason^eliassen,eliason^eliassen
aphrodite's^aphrodites,aphrodite's^aphrodites
diorio^iorio,diorio^iorio
masterbating^masturbating,masterbating^masturbating
definable^indefinable,definable
dualism^individualism^intellectualism(0)^intellectualism(1),dualism
aliberti^laliberte,aliberti^laliberte
co-operative(0)^inoperative^operative^uncooperative,operative
conglomerate's^conglomerates,conglomerate's^conglomerates
bracamonte's^bracamontes,bracamonte's^bracamontes
enunciate(0)^renunciate,enunciate(0)^renunciate
eligible(1)^ineligible,eligible(1)
mehitabel(0)^mehitabelle,mehitabel(0)^mehitabelle
mercedeses(0)^mercedes's(1),mercedeses(0)^mercedes's(1)
unlimited^unlimited,unlimited^unlimited
newtonian^plutonian,newtonian^plutonian
abomination^domination^nomination^renomination,domination^nomination
