diguglielmo^guglielmo,diguglielmo
introducing(0)^producing^reducing(0)^reintroducing^reproducing,reintroducing
automatically(0)^automatically(1)^democratically^diplomatically^dogmatically^dramatically(0)^ecstatically^emphatically(0)^erratically^fanatically(1)^mathematically(1)^pragmatically(1)^systematically^thematically^undiplomatically,automatically(0)^automatically(1)^democratically^diplomatically^mathematically(1)^systematically
misrepresented(1)^represented(3),misrepresented(1)
desalination^destination(1)^nondiscrimination^recrimination^rumination,desalination^recrimination
computervision^coopervision,computervision
contaminate^decontaminate^laminate(1),decontaminate
conflagration^disintegration(0)^disintegration(1)^emigration^immigration^integration(0)^integration(1),disintegration(0)^disintegration(1)
attitudinal^latitudinal^longitudinal,attitudinal^latitudinal^longitudinal
allocations^amplifications^applications^authentications^certifications^classifications^communications^communications'^complications^diversifications(0)^diversifications(1)^fortifications^identifications(0)^identifications(1)^implications^indications^magnifications^medications^modifications^notifications^pontifications^prognostications^provocations^qualifications^ramifications^revocations^specifications^telecommunications^telecommunications',amplifications^authentications^certifications^classifications^communications^communications'^fortifications^magnifications^modifications^notifications^pontifications^prognostications^qualifications^ramifications^specifications
extragalactic^galactic,extragalactic
gutowski^ignatowski^kotowski^poniatowski^ulatowski,poniatowski
conferencing^teleconferencing^videoconferencing,teleconferencing
actually(0)^casually(0)^eventually(0)^eventually(2)^spiritually,eventually(0)^eventually(2)^spiritually
agoglia^battaglia^buscaglia^foglia^garavaglia^goglia^lapaglia^medaglia^moglia^petraglia^redoglia^tenaglia,garavaglia
electrocution^elocution^execution^persecution^prosecution,electrocution
accuracy^confederacy(0)^degeneracy^illiteracy^inaccuracy^literacy,confederacy(0)^degeneracy^illiteracy^inaccuracy
autonomic^economic(0)^economic(1)^ergonomic^macroeconomic(0)^macroeconomic(1)^microeconomic^noneconomic^socioeconomic^uneconomic,noneconomic^uneconomic
accidental(0)^coincidental^occidental(0),coincidental
oppedisano^palmisano^pisano,oppedisano
frivolously^marvelously^mercilessly^meticulously^miraculously^perilously^ridiculously^scrupulously^tremulously,meticulously^miraculously^ridiculously
analyzable^exercisable,analyzable^exercisable
disintegrating^emigrating^integrating(0)^integrating(1),disintegrating
jurisprudential(1)^prudential(0),jurisprudential(1)
creatologists(2)^necrologists(1)^volcanologists^volcanologists,creatologists(2)^volcanologists^volcanologists
