contemporaries^temporaries,contemporaries
aerodynamic^electrodynamic^hemodynamic^photodynamic^psychodynamic,aerodynamic^hemodynamic^photodynamic^psychodynamic
versatility^volatility,versatility^volatility
negotiated(1)^renegotiated,negotiated(1)
cirigliano^corigliano^rutigliano,cirigliano^corigliano^rutigliano
degirolamo^digirolamo^girolamo,degirolamo^digirolamo
nonoperating^operating(1),nonoperating
eventually(0)^eventually(2),eventually(0)^eventually(2)
iannaccone^iannacone,iannaccone^iannacone
artificially^beneficially^officially^unofficially,artificially^beneficially^unofficially
anesthesiology^archaeology^archeology^astrogeology^bacteriology^cardiology^embryology^epidemiology^etiology(0)^etiology(1)^genealogy^geology^ideology^kinesiology^physiology^radiology^sociology^theology,archaeology^archeology^cardiology^embryology^etiology(0)^etiology(1)^genealogy^ideology^physiology^radiology^sociology
aerodynamics^electrodynamics^hemodynamics,aerodynamics^hemodynamics
aboriginal^original,aboriginal
invalidating^validating,invalidating
anthropologist(0)^apologist,anthropologist(0)
affiliating^humiliating,affiliating^humiliating
rep.^rep(1),rep.^rep(1)
proliferating^vociferating,proliferating^vociferating
gloriously^laboriously^notoriously,laboriously^notoriously
connectivity^objectivity^subjectivity,connectivity^objectivity^subjectivity
balkanization^colonization^harmonization^organisation^suburbanization^urbanization^urbanization,balkanization^colonization^harmonization^organisation^urbanization^urbanization
dishonorable^honorable,dishonorable
nonresidential(1)^presidential(0),nonresidential(1)
criminologists(0)^kremlinologists(0),criminologists(0)^kremlinologists(0)
invariably^variably,invariably
d'electricite(1)^electricite,d'electricite(1)^electricite
exterminated^germinated^terminated(1),exterminated
administration's^administrations^administrations',administration's^administrations^administrations'
assassination^fascination,assassination
depersonalize(0)^personalize,depersonalize(0)
wor^wor^wor,wor^wor^wor
quantitatively(0)^quantitatively(1),quantitatively(0)^quantitatively(1)
michelangelo's^michelangelos^michelangelo's^michelangelos,michelangelo's^michelangelos^michelangelo's^michelangelos
affiliations^humiliations^reconciliations,affiliations^humiliations
criminalizing^denationalizing^institutionalizing^marginalizing^nationalizing(0)^personalizing^rationalizing,criminalizing^marginalizing^nationalizing(0)^personalizing^rationalizing
climatologists(0)^climatologists(1)^dermatologists(0)^sovietologists(0),climatologists(0)^climatologists(1)^dermatologists(0)
associated(1)^disassociated(0)^negotiated(0),associated(1)^negotiated(0)
editorial's^editorials,editorial's^editorials
washingtonians^washingtonians,washingtonians^washingtonians
calculated(1)^miscalculated^recalculated,miscalculated^recalculated
misrepresented(1)^represented(3),misrepresented(1)
indiscriminate^nondiscriminate,indiscriminate^nondiscriminate
bahrainian(0)^mediterranean^pomeranian^subterranean,pomeranian^subterranean
individual's^individuals,individual's^individuals
immobility^mobility(1),immobility
dehumanizing^humanizing,dehumanizing
biomaterial^immaterial^material,immaterial
incorporating^reincorporating,incorporating
indianian^louisianian,indianian
collectibility^convertibility^fallibility^impossibility^incompatibility^indestructibility^infallibility^inflexibility^miscibility^plausibility^sensibility,fallibility^miscibility^plausibility^sensibility
diametrically(1)^geometrically^symmetrically,diametrically(1)^geometrically
availabilities^disabilities(1)^disability(1)^instabilities^liabilities(1)^vulnerabilities,disabilities(1)^disability(1)^instabilities^liabilities(1)
insubordinate(1)^subordinate(1),insubordinate(1)
adelphia^arkadelphia^philadelphia,arkadelphia^philadelphia
denuclearized(0)^denuclearized(1),denuclearized(0)^denuclearized(1)
biochemical(1)^electrochemical^petrochemical^photochemical(1),biochemical(1)^petrochemical^photochemical(1)
degenerative^generative,degenerative
abrahamian^bahamian,abrahamian
denomination's^denominations,denomination's^denominations
archaeologists(0)^cardiologists(0)^epidemiologists(0)^geologists(0)^ideologists(0)^microbiologists(0)^radiologists(0)^sociologists(0),archaeologists(0)^cardiologists(0)^ideologists(0)^radiologists(0)^sociologists(0)
liberalizes(0)^naturalizes(0),liberalizes(0)^naturalizes(0)
egotistical^statistical,egotistical
abilities^capabilities^disabilities(0)^liabilities(0)^possibilities^probabilities^responsibilities,capabilities^disabilities(0)^liabilities(0)^possibilities^probabilities
annunziato^nunziato,annunziato
irrelevancy^relevancy,irrelevancy
choreographic^geographic^stereographic,choreographic^stereographic
disintegrated^integrated(1)^reintegrated,disintegrated^reintegrated
insubstantiate(0)^substantiate(0),insubstantiate(0)
analytical^apolitical^geopolitical^nonpolitical^political(1),analytical^apolitical^nonpolitical
bipartisanship(0)^partisanship,bipartisanship(0)
agrochemical^biochemical(0)^photochemical(0),agrochemical^biochemical(0)^photochemical(0)
banality^conditionality^constitutionality^criminality^functionality^nationality(1)^originality^personality^proportionality^rationality^seasonality(1),criminality^functionality^nationality(1)^personality^rationality^seasonality(1)
authoritarian^egalitarian^humanitarian(0)^humanitarian(1)^proletarian^unitarian^utilitarian^vegetarian,proletarian^unitarian^vegetarian
coordination^insubordination^ordination^subordination,coordination^subordination
contemporaneously^extraneously^simultaneously^spontaneously,extraneously^spontaneously
inhibitory^prohibitory,inhibitory^prohibitory
biologically^chronologically^ecologically(0)^ecologically(1)^epidemiologically^ideologically^mineralogically(1)^pathologically^physiologically^psychologically^technologically(1)^theologically,biologically^chronologically^ecologically(0)^ecologically(1)^pathologically^psychologically^technologically(1)^theologically
generality^liberality^morality,generality^liberality
epitomizes^legitimizes,epitomizes^legitimizes
pontification^quantification,pontification^quantification
facilitator's^facilitators^rehabilitators,facilitator's^facilitators
liberatore^serratore,liberatore
metropolitan's^metropolitans,metropolitan's^metropolitans
cyclicality^technicality,cyclicality^technicality
compassionately^dispassionately^passionately,compassionately^dispassionately
recuperating(0)^recuperating(1),recuperating(0)^recuperating(1)
diversionary(0)^diversionary(1),diversionary(0)^diversionary(1)
economico^iannamico,economico^iannamico
co-operative(0)^inoperative^operative^uncooperative,co-operative(0)^inoperative
brutalization^formalization,brutalization^formalization
contaminated(0)^laminated^uncontaminated,contaminated(0)
intermediate(0)^intermediate(1),intermediate(0)^intermediate(1)
interventionists(2)^interventionists(3),interventionists(2)^interventionists(3)
contradictory^valedictory,contradictory^valedictory
economic(0)^macroeconomic(0)^microeconomic^noneconomic^socioeconomic^uneconomic,noneconomic^uneconomic
insubordinate(0)^subordinate(0),insubordinate(0)
lusitania's^lusitanias,lusitania's^lusitanias
conservatory^observatory,conservatory^observatory
involuntary^voluntary,involuntary
demilitarize^militarize,demilitarize
continuation^discontinuation^insinuation,continuation^insinuation
astigmatism^stigmatism,astigmatism
insensitivity^nativity^negativity^relativity,negativity^relativity
invigorated^reinvigorated,invigorated
disintegration(0)^integration(0),disintegration(0)
lusitania^ruritania,lusitania^ruritania
criminologist^kremlinologist,criminologist^kremlinologist
manipulation^stipulation,manipulation
coordinating^subordinating,coordinating^subordinating
deemphasizing^emphasizing^overemphasizing,deemphasizing
denominated^predominated^renominated,denominated^predominated^renominated
